# Forces                
# CofR                  : (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# Time                  forces(pressure viscous porous)	moments(pressure viscous porous)
30                      	((6.5791836388588643e-01 -1.2394753775137755e-05 4.0915891548944963e+00) (4.5771784097418354e-02 -1.5497228541871840e-07 3.0657599673269493e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-6.8177070558322959e-05 -5.1158435570147775e-07 1.4603980536502162e-04) (-1.8172590988943592e-06 5.6817041313637316e-02 1.0677119750547978e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
31                      	((6.6061432100573747e-01 -3.5974579232821562e-06 4.0283394000841390e+00) (4.4306809264178480e-02 -1.4128430690171978e-07 3.1028915156415447e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-4.9794880096427300e-05 -5.0083094706884807e-07 1.4936930702079540e-04) (-1.8031446434832376e-06 5.5343531003162416e-02 1.0289768523333296e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
32                      	((6.5957844229760720e-01 1.1042023169672319e-05 3.9626208374261691e+00) (4.2952718402859059e-02 -5.3689226612546379e-08 3.1348037492141094e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-4.7057940490375012e-05 -4.7373181142431231e-07 1.4867389440034637e-04) (-1.8292262325200359e-06 5.3989314770680412e-02 1.0064399261168893e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
33                      	((6.5481568359625852e-01 2.2968724160700800e-05 3.8948391652368604e+00) (4.1699310135147993e-02 5.7961370643681053e-08 3.1613655914154506e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-5.6149383972307855e-05 -4.5262417048615416e-07 1.4774479658921549e-04) (-1.9332465730444492e-06 5.2745909119317751e-02 1.0134447207606677e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
34                      	((6.4653611451419091e-01 1.8972751846832344e-05 3.8248596740323477e+00) (4.0537647777843938e-02 1.4843243007016931e-07 3.1823750296104208e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-6.3428477628559563e-05 -4.4555818296653685e-07 1.4402962463073142e-04) (-2.0837214474327216e-06 5.1605388979980057e-02 1.0486053921206654e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
35                      	((6.3597175560779196e-01 3.4749908525778917e-06 3.7536790104048987e+00) (3.9459800907275369e-02 1.9436625979980058e-07 3.1976949383987444e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-6.0526648523048722e-05 -4.5270800515340158e-07 1.3088339023107324e-04) (-2.2243901114602854e-06 5.0559535790415465e-02 1.1125138773024621e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
36                      	((6.2499425638653627e-01 -1.9812931488277946e-05 3.6821716988467736e+00) (3.8458473709807851e-02 2.0479277491165518e-07 3.2074789055684963e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-4.9233060649001860e-05 -4.7135355504777380e-07 1.2455764622213732e-04) (-2.3196106845863509e-06 4.9599018872957847e-02 1.1829699664475689e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
37                      	((6.1738465079470994e-01 -3.7722502904650407e-05 3.6125451529229848e+00) (3.7526856357067019e-02 1.9857994600429487e-07 3.2121702055765228e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-3.7681718812005707e-05 -4.9802750816859289e-07 1.1423674137594373e-04) (-2.3510010380010323e-06 4.8713678770584030e-02 1.2610975805986318e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
38                      	((6.1505940676990378e-01 -4.7591573812395235e-05 3.5459700162388073e+00) (3.6659462914364047e-02 1.9681655621732397e-07 3.2125256733146694e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-3.4881062696661075e-05 -5.2699275584901455e-07 9.8911655594725211e-05) (-2.3586431482739914e-06 4.7892934194989877e-02 1.3351359763103997e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
39                      	((6.1863559065034712e-01 -4.7079669006035622e-05 3.4826845984932691e+00) (3.5851023160840989e-02 2.0672732556377156e-07 3.2094402637201369e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-3.9910000738145536e-05 -5.5590608011729932e-07 9.6913002921151235e-05) (-2.3980983245989728e-06 4.7126203244436671e-02 1.4111299545310396e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
40                      	((6.2845935061008884e-01 -4.3837716836431753e-05 3.4234572755655224e+00) (3.5096386882930396e-02 2.3130571071535445e-07 3.2033951471343115e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-4.1039426918377153e-05 -5.8713265139516535e-07 1.0622400628301232e-04) (-2.4676214870683729e-06 4.6407163977742097e-02 1.4993953856494685e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
41                      	((6.4419596424414705e-01 -3.5046489662983598e-05 3.3693813298009645e+00) (3.4390704257980520e-02 2.6790956830637054e-07 3.1943889590995186e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-3.6060131418332139e-05 -6.2384447771683482e-07 9.1341237344799879e-05) (-2.5556433862223430e-06 4.5734338103968881e-02 1.5896088234838433e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
42                      	((6.6344359846865464e-01 -2.9480938391164580e-05 3.3211064845518110e+00) (3.3729443036776316e-02 3.2572973890333247e-07 3.1823721960616898e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-3.2908136047417802e-05 -6.6675221946859664e-07 6.8693308080961107e-05) (-2.7069079714083720e-06 4.5106975107821863e-02 1.6523551558049944e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
43                      	((6.8347338733073526e-01 -2.6393913863143731e-05 3.2790223261786182e+00) (3.3107777772709415e-02 4.0011352462172274e-07 3.1678022881537260e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-4.4017394055556559e-05 -7.1112537116462390e-07 4.1057689318988727e-05) (-2.9156210604421841e-06 4.4520089813569586e-02 1.7331384604887759e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
