# Force coefficients    
# liftDir               : (0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00)
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# magUInf               : 1.0000000000000000e+00
# lRef                  : 1.0000000000000000e+00
# Aref                  : 4.0000000000000000e+00
# CofR                  : (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# Time                  	Cm                      	Cd                      	Cl                      	Cl(f)                   	Cl(r)                   
24                      	2.5672505130937173e-02	3.2954736655967004e-01	2.1860012208797661e+00	1.1186731155708203e+00	1.0673281053089458e+00
25                      	2.4877264821475353e-02	3.3566160853433546e-01	2.1620599552117321e+00	1.1059072424273415e+00	1.0561527127843906e+00
26                      	2.4156814281604790e-02	3.4237150828692364e-01	2.1360482251373054e+00	1.0921809268502576e+00	1.0438672982870478e+00
27                      	2.3506261931454549e-02	3.4788994098146814e-01	2.1073872277121102e+00	1.0771998757875096e+00	1.0301873519246005e+00
28                      	2.2918309848726594e-02	3.5270917074408920e-01	2.0769417615897701e+00	1.0613891906436117e+00	1.0155525709461584e+00
29                      	2.2387444085565377e-02	3.5528952465554997e-01	2.0443624670824545e+00	1.0445686776267926e+00	9.9979378945566189e-01
30                      	2.1908923198547446e-02	3.5621815903773912e-01	2.0105699174065355e+00	1.0271938819018152e+00	9.8337603550472030e-01
31                      	2.1479441976370268e-02	3.5487740269763229e-01	1.9757610839473125e+00	1.0093599839500265e+00	9.6640109999728596e-01
32                      	2.1095518151271576e-02	3.5113135541120133e-01	1.9400277037164226e+00	9.9110937000948285e-01	9.4891833370693979e-01
33                      	2.0754103410355759e-02	3.4489719575638822e-01	1.9034713861903352e+00	9.7248979650552336e-01	9.3098158968481182e-01
34                      	2.0451271426026405e-02	3.3707942356713516e-01	1.8669237630534632e+00	9.5391315295275803e-01	9.1301061010070517e-01
35                      	2.0181886962225129e-02	3.2918988404487742e-01	1.8312150125330842e+00	9.3578939322876720e-01	8.9542561930431697e-01
36                      	1.9939513215771278e-02	3.2319029357386375e-01	1.7978244383160382e+00	9.1885173237379036e-01	8.7897270594224786e-01
37                      	1.9718008320082459e-02	3.1974340454755495e-01	1.7668053416399998e+00	9.0312067914008232e-01	8.6368466249991749e-01
38                      	1.9513000394701687e-02	3.1931227964871517e-01	1.7382213114240033e+00	8.8862365610670335e-01	8.4959765531729992e-01
39                      	1.9323128162366112e-02	3.2252598550507555e-01	1.7126520154289750e+00	8.7564913587685367e-01	8.3700287955212138e-01
40                      	1.9148641423017889e-02	3.2864210291278317e-01	1.6903101672297824e+00	8.6430372503790909e-01	8.2600644219187336e-01
41                      	1.8987797943427920e-02	3.3614154668975532e-01	1.6710464929770061e+00	8.5451104443193104e-01	8.1653544854507509e-01
